gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureYears,TotalServices,ChurnBinary,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Risk_Segment,Predicted Churn Score
Female,0,Yes,No,1.0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0.0,2,0,1.0,2,29.85,1,1,1,111,At-Risk Newbies,Medium-High Risk,70
Male,0,No,No,34.0,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,2.0,4,0,34.0,4,1889.5,5,3,3,533,Loyal Customers,Low Risk,0
Male,0,No,No,2.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0.0,4,1,2.0,4,108.15,1,3,1,131,Average Customers,Low Risk,60
Male,0,No,No,45.0,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,3.0,4,0,45.0,4,1840.75,5,3,3,533,Loyal Customers,Low Risk,0
Female,0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0.0,2,1,2.0,2,151.65,1,1,1,111,At-Risk Newbies,High Risk,100
Female,0,No,No,8.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0.0,6,1,8.0,6,820.5,3,4,2,342,Average Customers,High Risk,90
Male,0,No,Yes,22.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,1.0,5,0,22.0,5,1949.4,4,3,3,433,Loyal Customers,Medium-High Risk,50
Female,0,No,No,10.0,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0.0,2,0,10.0,2,301.9,3,1,2,312,Average Customers,Medium Risk,70
Female,0,Yes,No,28.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,2.0,7,1,28.0,7,3046.05,5,5,4,554,Champions,Medium-High Risk,50
Male,0,No,Yes,62.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,5.0,4,0,62.0,4,3487.95,5,3,4,534,Loyal Customers,Low Risk,0
